Date, Events
2010-12-25,Christmas
2011-12-25,Christmas
2011-02-03,Chinese New Year
2010-11-05,Diwali
2011-10-26,Diwali
2010-11-25,Thanksgiving
2011-11-24,Thanksgiving
2010-04-04,Easter
2011-04-24,Easter
2010-10-31,Halloween
2011-10-31,Halloween
2010-12-01,Hanukkah
2011-12-20,Hanukkah
2010-12-31,New Year's Eve
2011-12-31,New Year's Eve
2010-07-04,US Independence Day
2011-07-04,US Independence Day
2010-02-16,Pancake Day
2011-03-08,Pancake Day
2010-03-17,St. Patrick's Day
2011-03-17,St. Patrick's Day
2010-02-14,Valentine's Day-Chinese New Year
2011-02-14,Valentine's Day
2010-03-01,Holi
2011-03-20,Holi
2010-08-11,Ramadan
2011-08-01,Ramadan
2010-09-21,Chuseok
2011-09-12,Chuseok
2010-03-21,Nowruz
2011-03-21,Nowruz
2010-05-09,INT Mother's Day
2011-05-08,INT Mother's Day
2010-03-14,UK Mother's Day
2011-04-03,UK Mother's Day
2010-06-20,Father's Day
2011-06-19,Father's Day
2010-09-02,School Term
2011-09-05,School Term
